Text,Chapter_Name
"The equipment and support equipment must be properly installed and operated for proper processing. In addition, maintenance work must be performed periodically to keep the equipment and support equipment in good working condition.",Introduction
"Refer to the appropriate manuals for specific instructions on installing the equipment and the support equipment, processing, and maintaining the equipment.",Introduction
Each manual is prepared on the premise that the users fully understand the content of the manual regarding the safety.,Introduction
Before Beginning Work,Introduction
"Although this system is designed to protect workers and the environment, improper or incorrect operation may jeopardize workers or the environment.",Introduction
Anyone operating this system must fully understand and always be aware of the system's potential hazards and possible impact on the environment.,Introduction
Personnel should also know how to operate the system so that the environment is not harmed.,Introduction
Signal Word Definitions,Introduction
"Signal words are used in this manual to indicate that certain hazards exist, and signal words are also printed on the safety labels that are affixed to the equipment.",Introduction
"Signal words tell the users and workers around the system the extent of potential hazards. Depending on the level of danger, four types of signal words that comply with ANSI Z535.4-1988 are used in the manual for this system, and are defined as follows: In addition, Note indicates reference information.",Introduction
"   Danger Danger indicates an imminently hazardous situation which, if not avoided, WILL result in death or serious injury.  ",Introduction
Installing the Equipment and Support Equipment,Introduction
Only personnel who specialize in installing the equipment and support equipment are authorized to perform an installation.,Introduction
Maintenance operators who install the equipment and support equipment should refer to the Illustrat-ed Parts Catalog and the Reference for Customer Options for information on cable connections and the equipment dimensions needed for the installation.,Introduction
"After the installation is complete, maintenance operators who conduct the installation must verify that the system is installed properly by referring to the appropriate maintenance manuals.",Introduction
Manuals to Reference During an Installation,Introduction
Installation/Startup Manual,Introduction
Illustrated Parts Catalog,Introduction
Reference for Customer Options,Introduction
Maintenance Manual,Introduction
Safety Manual,Introduction
TEL Safety and Environmental Guidelines,Introduction
Processing Wafers,Introduction
"General operators, process operators, or maintenance operators processing wafers should refer to the Basic Operations Manual.",Introduction
Manual to Reference When Processing Wafers,Introduction
Basic Operations Manual,Introduction
Safety Manual,Introduction
TEL Safety and Environmental Guidelines,Introduction
Editing Recipes,Introduction
Only process operators and maintenance operators can edit recipes.,Introduction
Refer to the appropriate process manuals or the Reference for Customer Options for information needed to edit recipes.,Introduction
Manuals to Reference When Editing Recipes,Introduction
Reference for Customer Options,Introduction
Process Manual,Introduction
Basic/Advanced,Introduction
Operations Manual,Introduction
Safety Manual,Introduction
TEL Safety and Environmental Guidelines,Introduction
Performing Maintenance,Introduction
Only personnel in charge of maintenance should perform maintenance on the system and support equipment.,Introduction
"Refer to the appropriate process manuals, the Illustrated Parts Catalog, and the Reference for Customer Options for needed information, such as part numbers and recipes.",Introduction
Manuals to Reference When Performing Maintenance,Introduction
Illustrated Parts Catalog,Introduction
Process Manual,Introduction
Reference for Customer Options,Introduction
Maintenance Manual,Introduction
Safety Manual,Introduction
TEL Safety and Environmental Guidelines,Introduction
Operations Manual,Introduction
(Basic/Advanced),Introduction
About This Set of Manuals,Introduction
About This Set of Manuals,Introduction
Manual Target Readers Description,Introduction
TEL Safety and Environmental Guidelines,Introduction
"General operators, maintenance operators, process op-erators, installation workers",Introduction
"This manual includes general descriptions of safety is-sues, types of potential hazards, visible and audible warnings, hazard control, and instructions for system transport and/or disposal of the TEL manufactured equipment.",Introduction
"System Safety Manual General operators, maintenance operators, process op-erators, installation workers",Introduction
"This manual includes general descriptions of safety is-sues, types of potential hazards, visible and audible warnings, hazard control, and instructions for system transport and/or disposal for the loader module and the vacuum transfer module.",Introduction
Process Module Safety Manual,Introduction
"General operators, maintenance operators, process op-erators, installation workers",Introduction
"This manual includes information on types of potential hazards inherent to process module, AC power box, RF unit, and chiller, and instructions for hazard control.  You should have a separate safety manual for each type of process module that you have.  If you need to order additional manuals, refer to  1.8.3 Ordering Documentation (see page 50)  provided in the standard manual.",Introduction
"Basic Operations Manual General operators, maintenance operators, process op-erators",Introduction
"This manual includes information about preparing the equipment for operation, operating the operation controller, and handling the equipment alarms.",Introduction
Advanced Operations Manual,Introduction
"Maintenance operators, process operators",Introduction
"This manual includes information about obtaining and using data logs and accessing other system information. In addition, this manual includes information about the main menu and item menu choices. This manual also de-scribes the major software program modules and gives a hierarchy of the screen menus.",Introduction
Advanced Operations Recipe Manual,Introduction
"Maintenance operators, process operators",Introduction
This manual includes information about creating system and process recipes.,Introduction
Advanced Operations Maintenance Macro Manual,Introduction
Maintenance operator This manual includes information about creating maintenance macros.,Introduction
Advanced Operations Maintenance Manual,Introduction
Maintenance operator This manual includes information about maintenance work by screen operation.,Introduction
Advanced Operations Parameter Manual,Introduction
Maintenance operator This manual describes parameters specific to the equipment.,Introduction
System Maintenance Manual,Introduction
Maintenance operator This manual includes both preventive maintenance pro-cedures and corrective maintenance procedures for the loader module and vacuum transfer module. This manual also includes the TEL-recommended intervals for per-forming each procedure and information about the basic tasks required to complete maintenance operations.,Introduction
Manual Target Readers Description,Introduction
Process Module Maintenance Manual,Introduction
"Maintenance operator This manual includes both preventive maintenance pro-cedures and corrective maintenance procedures for the process module, the RF unit, the chiller, the gas supply module, and the AC power box. This manual also in-cludes the TEL-recommended intervals for performing each procedure and information about the basic tasks re-quired to complete maintenance operations.  You should have a separate maintenance manual for each type of process chamber that you have.  If you need to order additional manuals, refer to  Ordering Documentation (see page 50)  provided in the standard manual.",Introduction
"Process Manual Process operators This manual explains plasma etching theory, etching ap-plications, process recipes, and methods for collecting etching data. It also explains how the process module works and how to troubleshoot process problems.  You should have a separate process manual for each type of process module that you have.  If you need to order additional manuals, refer to  Ordering Documentation (see page 50)  provided in the standard manual.",Introduction
System Theory of Operation Manual,Introduction
"Maintenance operators, process operators",Introduction
This manual provides an overall description of the equipment and explains the functions of each subsystem. It de-scribes how the etcher subsystems interact with each other and with the support equipment.,Introduction
Process Module Theory of Operation Manual,Introduction
"Maintenance operators, process operators",Introduction
"This manual provides an overall description of the process module and explains the functions of each unit.  You should have a separate theory of operation manual for each type of process module that you have.  If you need to order additional manuals, refer to  Ordering Documentation (see page 50)  provided in the standard manual.",Introduction
System Installation/Startup Manual,Introduction
"Installation worker This manual includes information about installing, con-necting, and setting up the loader module and the vacuum transfer module at your facility.",Introduction
Process Module Installation/ Startup Manual,Introduction
"Installation worker This manual includes information about installing, con-necting, and setting up the process module, AC power box, and chiller at your facility.  You should have a separate installation manual for each type of process chamber that you have.  If you need to order additional manuals, refer to  Ordering Documentation (see page 50)  provided in the standard manual.",Introduction
Supplemental Manuals to the Standard Manual Set,Introduction
"Maintenance operators, process operators, installation workers",Introduction
Appendices and option manuals which include specifica-tions and maintenance information for nonstandard equipment.,Introduction
"Illustrated Parts Catalog Maintenance operators, installation workers",Introduction
"This manual includes exploded views of the equipment corresponding to the customer's specifications, with each part numbered.",Introduction
Reference for Customer Op-tions,Introduction
"Maintenance operators, installation workers",Introduction
This manual includes information about the specifica-tions of the customer's equipment.,Introduction
Purpose and Target Readers of this Manual,Introduction
"This manual explains how to operate each unit in the TEL plasma etching system (hereafter called ""this system"" or ""the system""), including the support equipment.",Introduction
This manual is intended for maintenance operators who have read and fully understand the contents of the Basic Operations Manual.,Introduction
Overview,Introduction
Advanced Operations Manual  contains the following chapters:,Introduction
"Chapter 1, Introduction",Introduction
"This chapter provides chapter overviews, explanation of conventions that are used throughout this manual, explanation of how to use the manual set, how to order manuals, how to request that changes be made to a manual, and contact information for TEL's sales and service offices worldwide.",Introduction
"Chapter 2, Starting and Stopping the System",Introduction
This chapter provides the necessary operations for starting and stopping the system.,Introduction
"Chapter 3, Special Port Usage",Introduction
This chapter provides details on the special port usage.,Introduction
"Chapter 4, Checking the Equipment Status",Introduction
This chapter provides the operation necessary to check the current status of the equipment.,Introduction
"Chapter 5, Settings to Prevent Mixing of the Gases",Introduction
This chapter provides the necessary operations for setting the mixing prevention gases.,Introduction
"Chapter 6, Parts Maintenance Management",Introduction
This chapter provides the necessary operations for parts maintenance management.,Introduction
"Chapter 7, Changing the Operation Mode",Introduction
"This chapter provides the necessary operations for changing the modes of the loader module, load lock module, transfer module and process module.",Introduction
"Chapter 8, Executing Auto Check",Introduction
This chapter provides the necessary operations for executing auto check for the process module and setting execution timing.,Introduction
"Chapter 9, Auto Setup Execution",Introduction
This chapter provides the necessary operations for executing auto setup.,Introduction
"Chapter 10, Manual Transfer",Introduction
This chapter provides the necessary operations for manual transfer.,Introduction
"Chapter 11, Log Check and Backup",Introduction
This chapter provides various events that may occur inside the equipment and the alarm logging function.,Introduction
"Chapter 12, Online Operation",Introduction
This chapter provides the operation procedures necessary to operate the equipment via the network.,Introduction
"Chapter 13, Transmitting Data",Introduction
This chapter provides the operation procedures necessary to transmit data.,Introduction
"Chapter 14, Managing and Setting the User/User Group",Introduction
This chapter provides the necessary operations for managing and setting the user and user group information with user management function.,Introduction
How to Use this Manual,Introduction
Chapter 2 or the beginning of each chapter of the separate volume manuals describes an overview of the tasks explained in the separate volume manual or the chapter. Please read the overview before per-forming each task.,Introduction
The format of the beginning of each separate volume manual or each chapter follows.,Introduction
Beginning of the Chapter,Introduction
No. Description,Introduction
1 Describes the overview of the chapter (such as details common among the tasks.),Introduction
2 Describes the relations between the tasks explained in the chapter and the software hierarchy.,Introduction
The software hierarchy describes the button operation to display the main screens used in each task. The button operations from the group menu (which is displayed constantly on the software screen) and from the fixed region are described here.,Introduction
3 Describes the outline of the tasks explained in the chapter.,Introduction
The outline includes information of each task explained in the chapter.,Introduction
"Operation procedures, description, and function keys are explained in each task in the chapter.",Introduction
The format of the description of each task follows.,Introduction
Description of Each Task (1),Introduction
Switching Display Language,Introduction
No. Description,Introduction
1 Describes the button operation to display the main screens used in each task. The button operations from the group menu (which is displayed constantly on the software screen) and from the fixed region are described here.,Introduction
2 Describes the buttons and details displayed on the screen.,Introduction
3 Describes the functions of each function buttons displayed at the right part of the screen.,Introduction
No. Description,Introduction
4 Describes the operation procedures and settings of each function on the main screen.,Introduction
"In each task, there is also a part which explains the whole task in the procedure, as follows.",Introduction
Description of Each Task (2),Introduction
About the Description of the Equipment Configuration,Introduction
"The load port, process module, and gas line configurations vary depending on the customer machine specifications. In this manual, they are indicated as follows:",Introduction
*: 1–6 (Used for the load port),Introduction
x: 1 or 2 (Used for the load lock module),Introduction
#: 1–8 (Used for the process module),Introduction
n: 1–32 (Used for gas lines),Introduction
Notices,Introduction
A Note to Our Customers,Introduction
"TEL has made every effort to ensure that this manual is accurate. However, because the designs of the machines are continually being revised and improved, you may occasionally find that some information is missing from a manual. If you find that needed information is missing from this manual or if there is information that your company would like to see added, please send or fax to TEL the Document Change Request form at the back of this manual with your proposed changes. For TEL address-es and fax numbers, refer to  1.9 Sales and Service Offices (see page 51) .",Introduction
We appreciate any feedback you can give us. Your feedback helps us keep our manuals as accurate and up-to-date as possible.,Introduction
Typographical Conventions,Introduction
Text Formatting,Introduction
"Typographical conventions used in this manual include text formatting for:  hardware switches , software buttons ,  menus ,  menu items , and  screen names .",Introduction
Numeric Subscripts,Introduction
"Each procedure and section title includes the object document number and revision of that section or procedure. The digits to the left of the decimal (00305M for this section) make up a unique document number, and the digits to the right of the decimal indicate the date the section was last revised in a year, month, day format (YYYYMMDD). When comparing information, keep in mind that the information with the most recent date supersedes information with the same document number having an earlier date. This information may also supersede earlier information with a different document number that is directly related.",Introduction
SI Units,Introduction
This manual uses SI units as the standard. Non-SI units are listed in parentheses. The values in the parentheses are reference values.,Introduction
Document Number,Introduction
The document number is described in each manual cover or CD-ROM label. Please tell us this document number when you contact us with the Document Change Request form.,Introduction
Model Number Abbreviations,Introduction
TEL etcher model numbers indicate the equipment configuration for delivery to the customer. The following tables show examples of model names and explain the abbreviations that are used in the model numbers.,Introduction
Example of Model Numbers and Abbreviations: 3WWZZWW,Introduction
Number Alphabet,Introduction
The first digit indicates the wafer size.,Introduction
3: 12 inches or 300 mm,Introduction
2: 8 inches or 200 mm,Introduction
Alphabets indicate the chamber type and numbers indicate the number of chamber connection.,Introduction
W: Vigus,Introduction
Z: Without chamber,Introduction
Ordering Documentation,Introduction
An additional manual set for this system can be ordered.,Introduction
"Normally, only the CD-ROM will be provided. If you prefer a normal paper copy or a cleanroom paper copy of the manual, please contact TEL's service center.",Introduction
Application of the Manual,Introduction
There are crossreferences in the manual. The user is expected to read all linked and cross referenced materials. Important safety related information may be presented in the referenced material and may have been updated since the last revision of the manuals. Failure to read the referenced material may expose the user to unexpected hazards and potential for injury.,Introduction
"If any content in this manual is unclear, refer to  Sales and Service Offices (see page 51)  and contact one of TEL's service centers.",Introduction
"Because the design of the equipment is continuously being revised and improved, the appearance of the equipment and other detailed specifications that are shown in the manual may differ slightly from your equipment. Screen display details shown in the manual may also differ slightly from those seen on your equipment depending on your equipment's specifications.",Introduction
This manual describes the TEL recommended procedures at the time of publication. Always confirm with the TEL service center that the information regarding procedures and parts is appropriate for your specification before servicing.,Introduction
Sales and Service Offices,Introduction
"In the event of an emergency, contact your nearest TEL sales and service office. They are listed in the tables that follow.",Introduction
"For the most up-to-date information, visit one of the following web sites:",Introduction
Japanese: http://www.tel.co.jp/about/locations/,Introduction
English: http://www.tel.com/about/locations/,Introduction
"TOKYO ELECTRON U.S. HOLDINGS, INC.",Introduction
Office Address Telephone Fax,Introduction
"U.S. Headquarters 2400 Grove Blvd., Austin, Texas 78741 USA",Introduction
"TOKYO ELECTRON AMERICA, INC.",Introduction
Office Address Telephone Fax,Introduction
"U.S. Headquarters 2400 Grove Blvd., Austin, TX 78741 U.S.A.",Introduction
"Boise Branch Office 9095 S. Federal Way, Suite 100, Boise, Idaho 83716 U.S.A.",Introduction
"Fishkill Branch Office 20 Corporate Park Drive, Suite A Hopewell Junction, New York 12533 U.S.A.",Introduction
"Manassas Branch Office 9501 Innovation Drive, Manassas, VA 20110 U.S.A.",Introduction
"Phoenix Branch Office 2545 West Frye Rd., Suite 1 Chandler, AZ 85224 U.S.A.",Introduction
"Portland Office 3188 NE Aloclek Dr., Hillsboro, OR 97124 U.S.A.",Introduction
"Fremont Branch Office 2859 Bayview Dr., Fremont CA 94538 U.S.A.",Introduction
"Lehi Branch Office 3300 North Running Creek Way, Bldg. D200, Lehi, UT 84043 U.S.A.",Introduction
"Malta Branch Office 2 Bayberry Drive, Suite 2-200, Malta, NY 12020 U.S.A.",Introduction
"TEL TECHNOLOGY CENTER, AMERICA, LLC (TTCA)",Introduction
Office Address Telephone Fax,Introduction
"Office NanoFab 300 South, 255 Fuller Road, Suite 214, Albany, New York 12203 U.S.A.",Introduction
"TEL VENTURE CAPITAL, INC. (TVC)",Introduction
Office Address Telephone Fax,Introduction
"Office 2859 Bayview Dr., Fremont CA 94538 U.S.A.",Introduction
"TEL EPION, INC. (TEI)",Introduction
Office Address Telephone Fax,Introduction
"Office 900 Middlesex Turnpike, Bldg. 6, Bill-erica, Massachusetts 01821 U.S.A.",Introduction
TEL FSI INC. (TEF),Introduction
Office Address Telephone Fax,Introduction
"Office 3455 Lyman Blvd., Chaska, MN 55318-3052 U.S.A.",Introduction
TOKYO ELECTRON EUROPE LTD,Introduction
Office Address Telephone Fax,Introduction
"Head Office Pioneer, Crawley Business Quarter, Fleming Way, Crawley, West Sussex RH10 9QL, England U.K.",Introduction
"Londonderry Office Unit 1, Ground Floor, Phase 1, 18 Bal-linska Road, Springtown Industrial Estate, Londonderry, BT48 0NA, Northern Ireland",Introduction
Italian Branch Office,Introduction
Milan,Introduction
"Via Energy Park, 6, 20871 Vimercate, Monza e Brianza, Italy",Introduction
Italian Branch Office,Introduction
Catania,Introduction
"Unita locale di Catania Zona Industri-ale Pantano D'Arci VIII strada N°8, 95121 Catania, Italy",Introduction
Italian Branch Office,Introduction
Avezzano,Introduction
"Via Cavour, 74C, 67051, Avezzano, Italy",Introduction
French Branch Office,Introduction
Grenoble,Introduction
"Les Jardins d'Entreprise, Batiment Ali-cante, 1, Chemin De La Dhuy, 38240 Meylan, France",Introduction
"German Branch Office Moritzburger Weg 67, Haus D, 01109 Dresden, Germany",Introduction
"Irish Branch Office Unit 1, Block K, Maynooth Business Campus, Maynooth, Co. Kildare. Ire-land",Introduction
Netherlands Branch Office,Introduction
"Kerkenbos 10-15, Unit C, 6546 BB, Nijmegen, The Netherlands",Introduction
"Austrian Branch Office Europastrasse 8-10 Gebaude T02, 9524 Villach, Austria",Introduction
TEL SOLAR SERVICES AG,Introduction
Office Address Telephone Fax,Introduction
Corning Laser Technolo-gies GmbH (for Laser Systems),Introduction
"Robert-Stirling-Ring 2, DE-82152 Krailling, Germany",Introduction
Evatec AG (for all other TEL solar equipment in-cluding Display [FTP] equipment),Introduction
"Hauptstrasse 1a, CH-9477 Truebbach, Switzerland",Introduction
TEL MAGNETIC SOLUTIONS LIMITED,Introduction
Office Address Telephone Fax,Introduction
"Main Office Unit J, Furry Park Industrial Estate, Santry, Dublin 9, Ireland",Introduction
TOKYO ELECTRON ISRAEL LIMITED,Introduction
Office Address Telephone Fax,Introduction
"Main Office 1 Leshem Street 1st Floor West Entrance, Gat 2000, Kiryat Gat, Israel",Introduction
TOKYO ELECTRON KOREA LIMITED,Introduction
Office Address Telephone Fax,Introduction
Hwaseong Office (HTSC),Introduction
"56, Samsung 1-ro 1-gil, Hwaseong-si, Gyeonggi-do, 18449 Korea",Introduction
"Balan Factory 51, Jangangongdan 6-gil, Jangan-myeon, Hwaseong-si, Gyeonggi-do, 18579 Korea",Introduction
"Cheonan Branch Office 4Fl., Miraecity Bldg., 46, Geomeun-deul 3-gil, Seobuk-gu, Cheonan-si, Chungcheongnam-do, 31163 Korea",Introduction
"Cheongju Branch Office 4Fl., Central 2Bldg., 17, Jangjeon-ro 6beonga-gil, Seowon-gu, Cheongju-si, Chungcheongbuk-do, 28614, Korea",Introduction
"Gumi Branch Office 4Fl., Parkjaedal-Tower Bldg., 115, In-dongbuk-gil, Gumi-si, Gyeongsang-buk-do, 39439 Korea",Introduction
"Icheon Branch Office 2056, Gyeongchung-daero, Bubal-eup, Icheon-si, Gyeonggi-do, 17332 Korea",Introduction
"Paju Branch Office 9Fl., Cheongwon Central-Tower Bldg., 84, Geumneungyeok-ro, Paju-si, Gyeonggi-do, 10915 Korea",Introduction
Pyeongtaek Branch Office,Introduction
"110, Sandan-ro 64beon-gil, Pyeong-taek-si, Gyeonggi-do, 17746, Korea",Introduction
TOKYO ELECTRON TAIWAN LIMITED,Introduction
Office Address Telephone Fax,Introduction
"Office No. 7, Dusing Rd, Hsinchu Science Park, Hsinchu City 30078, Taiwan, R.O.C.",Introduction
TOKYO ELECTRON (SHANGHAI) LIMITED,Introduction
Office Address Telephone Fax,Introduction
"Head Office No.555 Gaosi Rd., Zhangjiang Hi-Tech Park, Shanghai 201203 China",Introduction
"Beijing Office Room 608, Block B Building 1, No. 19, Ronghua Middle Rd., BDA, Bei-jing, 100176 China",Introduction
"Wuxi Office B507, IC Design Tower, No. 33–1 Xin-da Road WND, Wuxi, Jiangsu 214111 China",Introduction
"Xi’an Office 10F, Customs Clearance Service Center, No.5 Tonghai First Road, High-tech Zone, Xi’an, Shaanxi, 710100 China",Introduction
"Nanjing Office A1006, New City Headquarters Building, No. 1, Pukou Road, Pukou District, Nanjing, Jiangsu, 211800 China",Introduction
TOKYO ELECTRON (SHANGHAI) LOGISTIC CENTER LIMITED,Introduction
Office Address Telephone Fax,Introduction
"Office Level 1, No.126 Hedan Rd., Waigao-qiao FTZ, Pudong, Shanghai 200131, China",Introduction
TOKYO ELECTRON (KUNSHAN) LIMITED,Introduction
Office Address Telephone Fax,Introduction
"Office No. 8, Dongguang Road, Kunshan Economic & Technical Development Zone Jiangsu 215300, China",Introduction
TOKYO ELECTRON SINGAPORE PTE. LIMITED,Introduction
Office Address Telephone Fax,Introduction
"Office 4 Changi North Street, 1 Hermes Epitek Center, Singapore 498816",Introduction
TOKYO ELECTRON MALAYSIA Sdn. Bhd.,Introduction
Office Address Telephone Fax,Introduction
"Head Office Suite 1.08, 1st Floor, KHTP Business Centre, Kulim Hi-Tech Park, 09000 Kulim, Kedah, Malaysia",Introduction
TOKYO ELECTRON INDIA PRIVATE LTD.,Introduction
Office Address Telephone Fax,Introduction
"Head Office 7, Barakhamba Roda, New Delhi, Delhi, India 11001",Introduction
Starting and Stopping the System,Starting and Stopping the System
This chapter provides the necessary operations for starting and stopping the system.,Starting and Stopping the System
"The information contained in this chapter has been prepared based on the specifications of the standard equipment. Throughout the manual, figures provided in this manual, including operation screens and appearances, may vary from the equipment installed at your site.",Starting and Stopping the System
Starting and Stopping the System,Starting and Stopping the System
Introduction,Starting and Stopping the System
Overview:,Starting and Stopping the System
Operate the necessary functions to start/stop the system.,Starting and Stopping the System
Sequence of Starting System,Starting and Stopping the System
"Following the procedures below, operate the AC power box, loader module (back side) switch box, and process module breaker to prepare for starting the system.",Starting and Stopping the System
Turn on the AC Power Box main breaker.,Starting and Stopping the System
Check that the necessary breakers in the AC power box are turned on.,Starting and Stopping the System
Turn on the chiller main unit.,Starting and Stopping the System
Check that the process module breaker is turned on.,Starting and Stopping the System
Press  MACHINE ON  on the loader module (back side) switch box to start the system software.,Starting and Stopping the System
"Following the procedures below, start the system software.",Starting and Stopping the System
Log in to the equipment from the  Login  screen.,Starting and Stopping the System
Initialize the equipment.,Starting and Stopping the System
Display the  Overall Status  screen. Switch the screen and select/execute each menu item.,Starting and Stopping the System
Sequence of Stopping the System,Starting and Stopping the System
"Following the procedures below, shut down the system software.",Starting and Stopping the System
Check that the process module is in the normal or maintenance mode.,Starting and Stopping the System
Display the  Shutdown  screen from  System  in the group menu.,Starting and Stopping the System
Press  Shutdown  on the right of the  Shutdown  screen.,Starting and Stopping the System
Confirm the shutting down message.,Starting and Stopping the System
"Following the procedures below, operate the AC power box, loader module (back side) switch box, and process module breaker to stop the system.",Starting and Stopping the System
Press  MACHINE OFF  on the loader module (back side) switch box to stop the equipment.,Starting and Stopping the System
Turn OFF the process module breaker.,Starting and Stopping the System
Turn off the chiller main unit.,Starting and Stopping the System
Turn off the breaker in the AC power box.,Starting and Stopping the System
Turn off the AC power box main breaker.,Starting and Stopping the System
System Startup,Starting and Stopping the System
Preparation for Starting the System,Starting and Stopping the System
"Turn on the AC power box main breakers (MAIN1, MAIN2).",Starting and Stopping the System
AC Power Box,Starting and Stopping the System
ON ON,Starting and Stopping the System
OFF OFF,Starting and Stopping the System
ON ON,Starting and Stopping the System
OFF OFF,Starting and Stopping the System
Lock Plate,Starting and Stopping the System
"Open the AC power box front door and make sure that the necessary breakers are turned on. If any necessary breaker is off, turn it on and close the front door.",Starting and Stopping the System
Opening/Closing Front Door of AC Power Box,Starting and Stopping the System
Turn on the chiller main unit.,Starting and Stopping the System
"Make sure that the breaker located on the loader module (under the orienter) is turned on. If the breaker is off, turn it on.",Starting and Stopping the System
"Locate the process module breaker at the lower part of the process module on the maintenance side and make sure that it is turned on. If the breaker is off, turn it on.",Starting and Stopping the System
Open the switch box cover on the back of the loader module.,Starting and Stopping the System
Loader Module (Back Side) Switch Box Cover,Starting and Stopping the System
Press the  MACHINE ON  switch. The  MACHINE ON  switch will light up and the system soft-ware on the equipment main unit will initialize. Close the switch box cover.,Starting and Stopping the System
Loader Module (Back Side) Switch Box,Starting and Stopping the System
Starting System Software,Starting and Stopping the System
"When the system software has started, the  Start  screen will be displayed on the operation controller.",Starting and Stopping the System
Start Screen,Starting and Stopping the System
"Shutdown History  dialog is displayed, check the contents displayed on the dialog, and press  Close . The system will go on to the  Start  screen.",Starting and Stopping the System
"The  Login  screen will appear. Enter the user name and password, and then press  Login .",Starting and Stopping the System
"Once startup status checks for various modules have been completed, the system will display the  Unit Synchronization  screen automatically.",Starting and Stopping the System
Unit Synchronization Screen,Starting and Stopping the System
No. Description,Starting and Stopping the System
1 Displays the connection status of each module controller (see page 71) .,Starting and Stopping the System
Function Buttons,Starting and Stopping the System
All Maintenance : Changes to the maintenance mode to perform maintenance.,Starting and Stopping the System
Initialize : Changes to the normal mode to perform normal processing. The process module changes to the normal mode (production) or the normal mode (non-production) depending on the settings of  Processing Mode State at starting (PM1–6)  of  System Parameter  ( Equipment Mode ).,Starting and Stopping the System
MC Status : Displays the  MC Status  screen.,Starting and Stopping the System
Press  Initialize  on the right of the  Unit Synchronization  screen.,Starting and Stopping the System
"When pressing  All Maintenance  to change to the maintenance mode, it is necessary to turn ON the pump system and the chiller from the  PM Status  screen or  PM Maintenance  screen. By executing the initialization, if the pump system and the chiller are Off, they will be turned ON.",Starting and Stopping the System
"After the  Initialize  dialog is displayed, press  OK . The equipment initialization process will start.",Starting and Stopping the System
"The initial screen showing the equipment status will be displayed. When this initial screen dis-plays, it is possible to switch between screens, select various menu items to run, etc.",Starting and Stopping the System
Overall Status Screen,Starting and Stopping the System
System Shutdown,Starting and Stopping the System
Shutting Down the System Software,Starting and Stopping the System
Check that the process module is in the normal or maintenance mode.,Starting and Stopping the System
Display the  Shutdown  screen by pressing  Shutdown  from  System  of the group menu.,Starting and Stopping the System
Shutdown Screen,Starting and Stopping the System
No. Description,Starting and Stopping the System
1 Start or stop the pump system for the relevant process module.,Starting and Stopping the System
2 Switches the chiller for the relevant process module to  On  or  Off .,Starting and Stopping the System
3 Displays the equipment status and wafer information (see page 71) .,Starting and Stopping the System
Function Buttons,Starting and Stopping the System
Close : Closes the  Shutdown  screen.,Starting and Stopping the System
Shutdown : Shuts down the equipment.,Starting and Stopping the System
Restart : Restarts the equipment. This is enabled when the  Shutdown Function  of the  Common Parameter  is set to  Select Enabled .,Starting and Stopping the System
Pump System All On : Starts all pump systems.,Starting and Stopping the System
Pump System All Off : Stops all pump systems.,Starting and Stopping the System
